time,year,fish,port,landings
UTC,,,,pounds
1958-01-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1958-02-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1958-03-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1958-04-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1958-05-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1958-06-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1958-07-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1958-08-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,3570
1958-09-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,5520
1958-10-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,2000
1958-11-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1958-12-16T00:00:00Z,1958,"Sardine, Pacific",San Diego,0
1959-01-16T00:00:00Z,1959,"Sardine, Pacific",San Diego,0
1959-02-16T00:00:00Z,1959,"Sardine, Pacific",San Diego,0
1959-03-16T00:00:00Z,1959,"Sardine, Pacific",San Diego,0
1959-04-16T00:00:00Z,1959,"Sardine, Pacific",San Diego,0
1959-05-16T00:00:00Z,1959,"Sardine, Pacific",San Diego,0
1959-06-16T00:00:00Z,1959,"Sardine, Pacific",San Diego,0
1959-07-16T00:00:00Z,1959,"Sardine, Pacific",San Diego,0
